"id","createdby","createddate","modifiedby","modifieddate","cnbdetails","cnbnotes","cnbphotourl","cnbstatus","cnbtplid","cnbtplname","company","ougrade"
2,EMP-105958,2020-11-03 14:06:57,EMP-105958,,,"","",ACTIVE,CNBTPL-1604387217175,BENEFIT TRIAL (1),"{""esID"":""ES-1603854611244"",""esSubcoID"":""SUBCO-160385461124411"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","{""bizparKey"":""GRADE-014"",""bizparStatus"":""ACTIVE"",""bizparValue"":""0"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_GRADE""}"
1,EMP-205,2020-10-27 15:34:55,EMP-205,,,"","",ACTIVE,CNBTPL-1603787695457,BENEFIT KARYAWAN,"{""esID"":""ES-1604890793920"",""esSubcoID"":""SUBCO-160489079392053"",""esName"":""Bank Artha Graha Sudirman (KPNO)""}","{""bizparKey"":""GRADE-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""1"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""19-01-2020 14:45:07"",""modifiedBy"":"""",""modifiedDate"":null},""bizparCategory"":""CORPORATE_GRADE""}"
