id,corporateholidayid,corporateholidayphotourl,esid,createdby,createddate,modifiedby,modifieddate,holidaydate,holidayenddate,holidayname,holidaystartdate,holidaystatus,holidaytype,isallday
1,COPHOL-1606103710001,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 10:56,EMP-105958,,1/1/2020,1/1/2020 23:59,TAHUN BARU 2020 MASEHI,1/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
2,COPHOL-1606103710002,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 10:57,EMP-105958,,1/25/2020,1/25/2020 23:59,TAHUN BARU IMLEK 2571 KONGZLI,1/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
3,COPHOL-1606103710003,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 10:57,EMP-105958,,3/22/2020,3/22/2020 23:59,ISRA' MIRAJ NABI MUHAMMAD SAW,3/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
4,COPHOL-1606103710004,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:18,EMP-105958,,3/25/2020,3/25/2020 23:59,HARI RAYA NYEPI TAHUN BARU SAKA 1941,3/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
5,COPHOL-1606103710005,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:19,EMP-105958,,4/10/2020,4/10/2020 23:59,WAFAT ISA AL-MASIH,4/10/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
6,COPHOL-1606103710006,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:19,EMP-105958,,5/1/2020,5/1/2020 23:59,HARI BURUH INTERNASIONAL,5/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
7,COPHOL-1606103710007,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:19,EMP-105958,,5/7/2020,5/7/2020 23:59,HARI RAYA WAISAK 2564,5/7/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
8,COPHOL-1606103710008,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:22,EMP-105958,,5/21/2020,5/21/2020 23:59,KENAIKAN ISA AL MASIH,5/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
9,COPHOL-1606103710009,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:23,EMP-105958,,5/22/2020,5/22/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
10,COPHOL-1606103710010,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:24,EMP-105958,,5/24/2020,5/24/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
11,COPHOL-1606103710011,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:24,EMP-105958,,5/25/2020,5/25/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
12,COPHOL-1606103710012,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:24,EMP-105958,,6/1/2020,6/1/2020 23:59,HARI LAHIR PANCASILA,6/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
13,COPHOL-1606103710013,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:25,EMP-105958,,7/31/2020,7/31/2020 23:59,HARI RAYA IDUL ADHA 1441 HIJRIAH,7/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
14,COPHOL-1606103710014,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:25,EMP-105958,,8/17/2020,8/17/2020 23:59,HARI KEMERDEKAAN RI,8/17/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
15,COPHOL-1606103710015,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:26,EMP-105958,,8/20/2020,8/20/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/20/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
16,COPHOL-1606103710016,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:26,EMP-105958,,8/21/2020,8/21/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
17,COPHOL-1606103710017,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:26,EMP-105958,,10/28/2020,10/28/2020 23:59,MAULID NABI MUHAMMAD SAW,10/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
18,COPHOL-1606103710018,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:26,EMP-105958,,10/29/2020,10/29/2020 23:59,MAULID NABI MUHAMMAD SAW,10/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
19,COPHOL-1606103710019,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:27,EMP-105958,,10/30/2020,10/30/2020 23:59,MAULID NABI MUHAMMAD SAW,10/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
20,COPHOL-1606103710020,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:27,EMP-105958,,12/24/2020,12/24/2020 23:59,HARI RAYA NATAL,12/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
21,COPHOL-1606103710021,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:27,EMP-105958,,12/25/2020,12/25/2020 23:59,HARI RAYA NATAL,12/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
22,COPHOL-1606103710022,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:28,EMP-105958,11/23/2020 13:11,12/29/2020,12/29/2020 23:59,"	PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH",12/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
23,COPHOL-1606103710023,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:28,EMP-105958,11/23/2020 13:11,12/30/2020,12/30/2020 23:59,"	PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH",12/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
24,COPHOL-1606103710024,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:28,EMP-105958,11/23/2020 13:11,12/31/2020,12/31/2020 23:59,"	PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH",12/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
25,COPHOL-1606103710025,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:28,EMP-105958,,1/1/2021,1/1/2021 23:59,TAHUN BARU 2021 MASEHI,1/1/2021 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
26,COPHOL-1606103710026,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:27,EMP-105958,11/23/2020 13:11,12/28/2020,12/28/2020 23:59,"	PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH",12/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
27,COPHOL-1606103743001,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,1/1/2020,1/1/2020 23:59,TAHUN BARU 2020 MASEHI,1/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
28,COPHOL-1606103743002,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,1/25/2020,1/25/2020 23:59,TAHUN BARU IMLEK 2571 KONGZLI,1/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
29,COPHOL-1606103743003,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,3/22/2020,3/22/2020 23:59,ISRA' MIRAJ NABI MUHAMMAD SAW,3/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
30,COPHOL-1606103743004,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:11,EMP-044515,,3/25/2020,3/25/2020 23:59,HARI RAYA NYEPI TAHUN BARU SAKA 1941,3/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
31,COPHOL-1606103743005,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,4/10/2020,4/10/2020 23:59,WAFAT ISA AL-MASIH,4/10/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
32,COPHOL-1606103743006,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/1/2020,5/1/2020 23:59,HARI BURUH INTERNASIONAL,5/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
33,COPHOL-1606103743007,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/7/2020,5/7/2020 23:59,HARI RAYA WAISAK 2564,5/7/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
34,COPHOL-1606103743008,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/21/2020,5/21/2020 23:59,KENAIKAN ISA AL MASIH,5/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
35,COPHOL-1606103743009,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/22/2020,5/22/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
36,COPHOL-1606103743010,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/24/2020,5/24/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
37,COPHOL-1606103743011,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,5/25/2020,5/25/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
38,COPHOL-1606103743012,,"{""esid"":""ES-1604912279682"",""essubcoID"":""SUBCO-160491227968259"",""esname"":""Bank Artha Graha Asia Afrika Bandung (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,6/1/2020,6/1/2020 23:59,HARI LAHIR PANCASILA,6/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
