"id","createdby","createddate","modifiedby","modifieddate","cnbdetails","cnbnotes","cnbphotourl","cnbstatus","cnbtplid","cnbtplname","company","ougrade"
35,EMP-205,2020-04-02 10:35:25,SYSTEM,2020-04-02 10:37:59,"[{""cNBDetaiID"":""CNBCOM-1585798653792"",""cNBValue"":5000000,""cNBDetailNotes"":"""",""cNBType"":""BENEFIT"",""cNBComponent"":{""bizparKey"":""COMPTYPE-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Persalinan - Keguguran"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""13-03-2020 16:06:03"",""modifiedBy"":""EMP-205"",""modifiedDate"":""13-03-2020 23:23:47""},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYROLL_TPL_COMPONENT_TYPE"",""bizparStatus"":""ACTIVE"",""bizparValue"":""UMUM"",""bizparCreationalDTO"":{""createdBy"":""E24202D3"",""createdDate"":""17-02-2020 22:36:53"",""modifiedBy"":""E24202D3"",""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}},{""cNBDetaiID"":""CNBCOM-1585798679016"",""cNBValue"":2000000,""cNBDetailNotes"":"""",""cNBType"":""BENEFIT"",""cNBComponent"":{""bizparKey"":""COMPTYPE-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Obat Bebas"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""13-03-2020 16:06:03"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYROLL_TPL_COMPONENT_TYPE"",""bizparStatus"":""ACTIVE"",""bizparValue"":""UMUM"",""bizparCreationalDTO"":{""createdBy"":""E24202D3"",""createdDate"":""17-02-2020 22:36:53"",""modifiedBy"":""E24202D3"",""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}}]","","",ACTIVE,CNBTPL-1585798580382,Grade 1,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
41,EMP-205,2020-04-02 10:41:47,EMP-205,,,"","",INACTIVE,CNBTPL-1585805882688,Grade test,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
42,EMP-205,2020-04-02 10:41:47,SYSTEM,2020-04-02 12:42:07,"[{""cNBDetaiID"":""CNBCOM-1585806112625"",""cNBValue"":3,""cNBDetailNotes"":"""",""cNBType"":""COMPENSATION"",""cNBComponent"":{""bizparKey"":""COMPTYPE-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Persalinan - Keguguran"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""13-03-2020 16:06:03"",""modifiedBy"":""EMP-205"",""modifiedDate"":""13-03-2020 23:23:47""},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYROLL_TPL_COMPONENT_TYPE"",""bizparStatus"":""ACTIVE"",""bizparValue"":""UMUM"",""bizparCreationalDTO"":{""createdBy"":""E24202D3"",""createdDate"":""17-02-2020 22:36:53"",""modifiedBy"":""E24202D3"",""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}},{""cNBDetaiID"":""CNBCOM-1585806127917"",""cNBValue"":4,""cNBDetailNotes"":"""",""cNBType"":""BENEFIT"",""cNBComponent"":{""bizparKey"":""COMPTYPE-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Obat Bebas"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""13-03-2020 16:06:03"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYTPLCOMTYP-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""STANDARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""11-09-2019 17:38:08"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}}]","","",ACTIVE,CNBTPL-1585806079700,Grade 0,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
43,EMP-205,2020-04-03 12:55:59,SYSTEM,2020-04-03 12:58:45,"[{""cNBDetaiID"":""CNBCOM-1585893487777"",""cNBValue"":500000,""cNBDetailNotes"":"""",""cNBType"":""BENEFIT"",""cNBComponent"":{""bizparKey"":""COMPEN_TYPE2"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BENEFIT"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""14-01-2020 18:14:16"",""modifiedBy"":""EMP-205"",""modifiedDate"":""31-01-2020 22:27:42""},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYTPLCOMTYP-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""PERCENTACE"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""11-09-2019 17:37:56"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}}]","","",INACTIVE,CNBTPL-1585893432108,DINAS LUAR KOTA TODAY,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
48,EMP-205,2020-04-20 01:25:11,EMP-205,,,"","",ACTIVE,CNBTPL-1587352352572,benefit b,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
44,EMP-205,2020-04-03 12:50:28,SYSTEM,2020-04-08 04:27:54,"[{""cNBDetaiID"":""CNBCOM-1585893705800"",""cNBValue"":1500000,""cNBDetailNotes"":"""",""cNBType"":""COMPENSATION"",""cNBComponent"":{""bizparKey"":""COMPTYPE-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Obat Bebas"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""13-03-2020 16:06:03"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYROLL_TPL_COMPONENT_TYPE"",""bizparStatus"":""ACTIVE"",""bizparValue"":""UMUM"",""bizparCreationalDTO"":{""createdBy"":""E24202D3"",""createdDate"":""17-02-2020 22:36:53"",""modifiedBy"":""E24202D3"",""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}}]","","",INACTIVE,CNBTPL-1585893692162,TES TODAY 8 APRIL 2020,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
49,EMP-205,2020-04-20 01:25:11,EMP-205,,,"","",ACTIVE,CNBTPL-1587352352572,benefit b,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
50,EMP-205,2020-04-20 01:25:11,EMP-205,,,"","",ACTIVE,CNBTPL-1587352352572,benefit b,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
51,EMP-205,2020-04-20 01:25:11,EMP-205,,,"","",ACTIVE,CNBTPL-1587352352572,benefit b,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
52,EMP-205,2020-04-20 01:25:11,EMP-205,,,"","",ACTIVE,CNBTPL-1587352352572,benefit b,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
53,EMP-205,2020-04-20 03:07:32,EMP-205,,,"","",ACTIVE,CNBTPL-1587353154478,Grade 4 test,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
55,EMP-205,2020-04-20 03:16:30,SYSTEM,2020-04-20 03:19:54,"[{""cNBDetaiID"":""CNBCOM-1587352794713"",""cNBValue"":1000000,""cNBDetailNotes"":"""",""cNBType"":""BENEFIT"",""cNBComponent"":{""bizparKey"":""COMPTYPE-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Obat Bebas"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""13-03-2020 16:06:03"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""COMPENSATION_TYPE""},""cNBValueType"":{""bizparKey"":""PAYTPLCOMTYP-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""STANDARD"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""11-09-2019 17:38:08"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""PAYROLL_TPL_COMPONENT_TYPE""}}]","","",ACTIVE,CNBTPL-1587352602394,Benefit C,"{""esID"":""ES-001"",""esSubcoID"":""SUBCO-001"",""esName"":""PT TIGA DAYA DIGITAL INDONESIA""}",
