ouCNBTPLID,ouCNCTPLID,ouIPPTPLID,ouTaxTPLID,laneType,oUGrade,oUHashChild,oUID,oUJobDescription,oULevel,oUParentID,oUPayrollTaxTPLID,oUPosition
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603779039850,GRADE-002;	2153000-5418000	;FAC-1603779039850,GRADE-003;	2369000-5961000	;FAC-1603779039850,GRADE-004;	5167000-10334000	;FAC-1603779039850,GRADE-005;	6718000-13346000	;FAC-1603779039850,GRADE-006;	8734000-17466000	;FAC-1603779039850,GRADE-007;	11355000-22710000	;FAC-1603779039850,GRADE-008;	14762000-29524000	;FAC-1603779039850,GRADE-009;	19191000-38382000	;FAC-1603779039850,GRADE-010;	25908000-51816000	;FAC-1603779039850,GRADE-011;	34976000-69525000	;FAC-1603779039850,GRADE-012;	47218000-69952000	;FAC-1603779039850,GRADE-013;	47218000-69952000	;FAC-1603779039850,GRADE-014;	1957000-4925000	;FAC-1603779039850",TRUE,OUID-EOKCKRK54001,Executive Officer KC Kartini - CRB,LVL-003,NULL,PAY-1580288169116,LVL-003-EOKCKRK
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-STCLCA54002,Staff Collection Cabang                           ,LVL-006,OUID-EOKCKRK54001,PAY-1580288169116,LVL-006-STCLCA
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603778664950,GRADE-002;	2153000-5418000	;FAC-1603778664950,GRADE-003;	2369000-5961000	;FAC-1603778664950,GRADE-004;	5167000-10334000	;FAC-1603778664950,GRADE-005;	6718000-13346000	;FAC-1603778664950,GRADE-006;	8734000-17466000	;FAC-1603778664950,GRADE-007;	11355000-22710000	;FAC-1603778664950,GRADE-008;	14762000-29524000	;FAC-1603778664950,GRADE-009;	19191000-38382000	;FAC-1603778664950,GRADE-010;	25908000-51816000	;FAC-1603778664950,GRADE-011;	34976000-69525000	;FAC-1603778664950,GRADE-012;	47218000-69952000	;FAC-1603778664950,GRADE-013;	47218000-69952000	;FAC-1603778664950,GRADE-014;	1957000-4925000	;FAC-1603778664950",TRUE,OUID-SOTLD54003,Senior Officer Team Leader                        ,LVL-005,OUID-EOKCKRK54001,PAY-1580288169116,LVL-005-SOTLD
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603778452842,GRADE-002;	2153000-5418000	;FAC-1603778452842,GRADE-003;	2369000-5961000	;FAC-1603778452842,GRADE-004;	5167000-10334000	;FAC-1603778452842,GRADE-005;	6718000-13346000	;FAC-1603778452842,GRADE-006;	8734000-17466000	;FAC-1603778452842,GRADE-007;	11355000-22710000	;FAC-1603778452842,GRADE-008;	14762000-29524000	;FAC-1603778452842,GRADE-009;	19191000-38382000	;FAC-1603778452842,GRADE-010;	25908000-51816000	;FAC-1603778452842,GRADE-011;	34976000-69525000	;FAC-1603778452842,GRADE-012;	47218000-69952000	;FAC-1603778452842,GRADE-013;	47218000-69952000	;FAC-1603778452842,GRADE-014;	1957000-4925000	;FAC-1603778452842",TRUE,OUID-AOFFR54004,Account Officer                                   ,LVL-006,OUID-EOKCKRK54001,PAY-1580288169116,LVL-006-AOFFR
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-AAOFF54005,Assistant Account Officer                         ,LVL-006,OUID-EOKCKRK54001,PAY-1580288169116,LVL-006-AAOFF
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603778266357,GRADE-002;	2153000-5418000	;FAC-1603778266357,GRADE-003;	2369000-5961000	;FAC-1603778266357,GRADE-004;	5167000-10334000	;FAC-1603778266357,GRADE-005;	6718000-13346000	;FAC-1603778266357,GRADE-006;	8734000-17466000	;FAC-1603778266357,GRADE-007;	11355000-22710000	;FAC-1603778266357,GRADE-008;	14762000-29524000	;FAC-1603778266357,GRADE-009;	19191000-38382000	;FAC-1603778266357,GRADE-010;	25908000-51816000	;FAC-1603778266357,GRADE-011;	34976000-69525000	;FAC-1603778266357,GRADE-012;	47218000-69952000	;FAC-1603778266357,GRADE-013;	47218000-69952000	;FAC-1603778266357,GRADE-014;	1957000-4925000	;FAC-1603778266357",TRUE,OUID-SOKLCB54006,Senior Officer Kantor Layanan KC Kartini - CRB                     ,LVL-005,OUID-EOKCKRK54001,PAY-1580288169116,LVL-005-SOKLCB
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-SACBG54007,Staff Admin Cabang,LVL-006,OUID-SOKLCB54006,PAY-1580288169116,LVL-006-SACBG
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-CAOFF54008,Cash Officer                                      ,LVL-006,OUID-SOKLCB54006,PAY-1580288169116,LVL-006-CAOFF
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-HDTLL54009,Head Teller                                       ,LVL-006,OUID-SOKLCB54006,PAY-1580288169116,LVL-006-HDTLL
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-TLLER54010,Teller                                            ,LVL-006,OUID-SOKLCB54006,PAY-1580288169116,LVL-006-TLLER
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	1957000-4925000	;FAC-1603782562305,GRADE-002;	2153000-5418000	;FAC-1603782562305,GRADE-003;	2369000-5961000	;FAC-1603782562305,GRADE-004;	5167000-10334000	;FAC-1603782562305,GRADE-005;	6718000-13346000	;FAC-1603782562305,GRADE-006;	8734000-17466000	;FAC-1603782562305,GRADE-007;	11355000-22710000	;FAC-1603782562305,GRADE-008;	14762000-29524000	;FAC-1603782562305,GRADE-009;	19191000-38382000	;FAC-1603782562305,GRADE-010;	25908000-51816000	;FAC-1603782562305,GRADE-011;	34976000-69525000	;FAC-1603782562305,GRADE-012;	47218000-69952000	;FAC-1603782562305,GRADE-013;	47218000-69952000	;FAC-1603782562305,GRADE-014;	1957000-4925000	;FAC-1603782562305",TRUE,OUID-HDCSV54011,Head Customer Service                             ,LVL-006,OUID-SOKLCB54006,PAY-1580288169116,LVL-006-HDCSV
